category,f1,f1_lower_80,f1_lower_90,f1_lower_95,f1_upper_80,f1_upper_90,f1_upper_95,num_samples,p_lower_80,p_lower_90,p_lower_95,p_upper_80,p_upper_90,p_upper_95,precision,r_lower_80,r_lower_90,r_lower_95,r_upper_80,r_upper_90,r_upper_95,recall,scale
Mosaic vegetation,0.9404629254785949,0.9242825176897596,0.9186105033294553,0.9127377744697284,0.9549287628349683,0.9581847264344782,0.9608750101673851,159,0.9138829399589102,0.9062478448275862,0.8983385412153232,0.9560943064110954,0.9600872882262232,0.9635792197314539,0.9360627316050599,0.9284901050488282,0.9225666084223929,0.9169738317803803,0.9605242743991508,0.9638656569483779,0.9664186327467909,0.9450641469165301,rvalue_1
Cropland,0.9458982952380793,0.9383184135752041,0.936021847117622,0.9342096285205981,0.952941468565109,0.954852986434647,0.9561987560928408,422,0.9244203255260509,0.9206093208382883,0.917036795860106,0.9480691211056287,0.9511338497647379,0.9532416490272524,0.9366137922996725,0.9490784336066996,0.9470406276550959,0.9454278351577792,0.9615653653998697,0.9631615569259458,0.964401131204791,0.9554179313015109,rvalue_1
Forest,0.9949063211596907,0.9937899689488431,0.9934400346519991,0.9931523177529924,0.995942934762834,0.9962142639388724,0.9964701724264617,446,0.9929169978233601,0.9923946633103882,0.9918762494593218,0.996138261113673,0.9965101814740968,0.9967930530451219,0.9945879021186563,0.9939901056411986,0.9936013865235123,0.9932812618907134,0.9964022434159538,0.9966485912747192,0.9968651557092794,0.995226001721277,rvalue_1
Urban,0.8569033857208428,0.8006628364662364,0.7743480986644607,0.7485705931495407,0.90579422035146,0.9139404761904761,0.9205031403216097,14,0.765757454871846,0.731311774171659,0.6996681731993039,0.911433255269321,0.9244228399815185,0.9340279079210395,0.8442380948965812,0.8080445820433436,0.7799891696750902,0.7566819504758384,0.927195681245744,0.9382115681568716,0.9479195926966292,0.8728732127619654,rvalue_1
Shrub/scrub/otherland,0.9275682117738393,0.9061226970308679,0.898399713547955,0.8917513134843478,0.9469872116327795,0.9510361354910885,0.9548344957437737,141,0.895818018919985,0.8826697055086681,0.8723786140143491,0.959924006365089,0.9656251607351896,0.9695484427223973,0.9297308206768519,0.9051537033517021,0.8984452941015018,0.8920007467110368,0.945043553417462,0.9493774476488491,0.9530599884423897,0.9258078617397479,rvalue_1
Grassland,0.9169572742404387,0.9007253240735205,0.8949258071318584,0.8896656663001159,0.9317749119878985,0.9355821353084917,0.9386039160945245,235,0.8819089031008934,0.8743751814148225,0.8669410983349078,0.9271319813191735,0.9325094486228774,0.9361817689242511,0.9054744729629709,0.9142415762499613,0.9084707501513016,0.9041423060474978,0.943078084487865,0.9464932667707423,0.9490971682849061,0.9289068933580756,rvalue_1
