category,f1,f1_lower_80,f1_lower_90,f1_lower_95,f1_upper_80,f1_upper_90,f1_upper_95,num_samples,p_lower_80,p_lower_90,p_lower_95,p_upper_80,p_upper_90,p_upper_95,precision,r_lower_80,r_lower_90,r_lower_95,r_upper_80,r_upper_90,r_upper_95,recall,scale
Eastern Asia,0.9873944346879782,0.9773755656108597,0.9742454827802054,0.9709208400646203,0.9955555555555555,0.997330485851575,0.9978232477144101,7,0.9647887323943662,0.9586776859504132,0.9540229885057471,0.9956331877729258,0.9988962472406181,0.9991364421416234,0.9812854370821257,0.9854651162790697,0.9810126582278481,0.9774096385542169,1.0,1.0,1.0,0.9936720861678495,subregion
Southern Africa,0.9212870815005495,0.8671632175793142,0.8115002880636882,0.7520523415977962,0.9612427612832062,0.9655543365436414,0.968393638158213,25,0.8857142857142857,0.8166666666666667,0.7480222974464641,0.9790758976130834,0.9828387501659135,0.9857941840931472,0.9369536252120731,0.8468395815170009,0.8042294973544973,0.7512373096446701,0.9512019417824413,0.9560239951253335,0.960218960125163,0.9071772917242812,subregion
Western Asia,0.9167996894806717,,,,,,,32,0.8675496688741722,0.8260869565217391,0.7656201774691358,0.958550654109295,0.9649484536082474,0.9700645815806402,0.91636230406297,0.8827509150452707,0.849989270386266,0.8028169014084507,0.9501756796716008,0.9550201797465585,0.9597712252838032,0.9179742042691609,subregion
Caribbean,0.9145615328506891,0.871236614083186,0.8547884221331171,0.8374695204233698,0.9517187429551972,0.9589834536387265,0.9652635453838653,40,0.7857930737654637,0.7614021258808074,0.7349101183182977,0.9224556822172897,0.9354770988604832,0.9466431222575306,0.8585005673537341,0.9718455624735485,0.9687063222480644,0.9660127450980392,0.987973829647869,0.9895102776100989,0.9909005965636063,0.9804257152617445,subregion
Southern Asia,0.9654202603649177,0.951697948178464,0.946187202080681,0.9410084136850214,0.9773363837666967,0.9801030413366636,0.982148092465885,41,0.9599687154085434,0.9548023164501122,0.9497749192463562,0.9839018498780971,0.9860680123650106,0.9877813598552895,0.9725662022836441,0.9395164725249946,0.9321026207620884,0.9251430621170394,0.9755917796903741,0.97946790361607,0.982100204074274,0.9584780322918057,subregion
South America,0.9794967924029392,0.975201985539391,0.9740249058166741,0.9728039372815914,0.9833511571457652,0.9843582199210981,0.9851333071155809,299,0.9681094142590493,0.9659442323043834,0.9641290482276842,0.9813346763286412,0.982796683935997,0.9840115577116562,0.9750672044276807,0.9806914327724132,0.9797038864841957,0.9788770571043237,0.9871076443519781,0.987871649561967,0.9886017813900562,0.983980415982336,subregion
Australia and New Zealand,0.9164171234527968,0.88723316964354,0.8762757095059358,0.8660002182029772,0.9416158655046469,0.947000116184501,0.951619410634209,48,0.9162720616044039,0.9046611347350737,0.8902001524027727,0.9739183864345431,0.978940713693569,0.9826415597293272,0.9478871271327529,0.8477849226726343,0.8327174897476189,0.818657627638726,0.9248095720594621,0.9326122168926095,0.9389671134339613,0.8875687744028635,subregion
Melanesia,0.9969965468009954,0.9953518866086868,0.9947784245968072,0.9943204912522514,0.9985223881826542,0.9988463312870013,0.999132812050791,57,0.9966908979463637,0.9959999804859011,0.9955543547105324,0.9997194347437361,0.9998189365033284,0.9999080550656506,0.9982884099099864,0.9927825700572818,0.9918828132601905,0.9908132539074793,0.9983812448222944,0.9988733133987723,0.9992467273560991,0.995711165341776,subregion
Western Africa,0.9471248922214832,0.9356557683179182,0.9314084415703592,0.9284008803094209,0.9576608099720275,0.9599429766411404,0.9619386906731906,147,0.9302725714723424,0.925115784667297,0.9208417926677007,0.9599583863461942,0.963133302886238,0.9654961434619124,0.9458031748559644,0.9360166848047526,0.9317023969169707,0.9278983305231348,0.9600461342945832,0.9626675741818551,0.9650374118900554,0.9485305894901749,subregion
Central America,0.9751829788534431,0.9700605416248386,0.9682285666196963,0.9665476997828972,0.9799775128702795,0.9813032555001686,0.982315494773465,147,0.9627542436394604,0.9599413312353077,0.9573120303840214,0.9788113962981771,0.9804695223164732,0.9819157640560855,0.971105200867997,0.9745486176798959,0.9730405410348566,0.9717370651038835,0.9838121855221718,0.9849240921858751,0.9859685756681413,0.9793179818533335,subregion
Middle Africa,0.9798450584525954,0.9743958232693862,0.9725440681025842,0.970593095609173,0.9848468794005336,0.986059839871488,0.9870423921290139,163,0.9750215488955697,0.9725351647338589,0.9698657761220009,0.9890475336993828,0.9903846454008002,0.9914213875524297,0.9823407971966069,0.9704515525187771,0.9681234391743175,0.9660655655593922,0.9836941025633892,0.9850802049164362,0.9861977019035029,0.9773863259879343,subregion
South-Eastern Asia,0.9920087519201747,0.9896892193543623,0.9889338986328771,0.9883113972477464,0.9941960915729917,0.9946911994499482,0.9951090468345819,176,0.9881109844756214,0.9871190046552796,0.9861745706424137,0.9941656319166418,0.994808508750083,0.9953264879989714,0.9912358300358651,0.9896289493398644,0.9885828132918588,0.9876715148535992,0.9957325236973263,0.9963562068757605,0.996880057461474,0.9927879294395731,subregion
Eastern Africa,0.9123338422372215,0.8932698954889837,0.8863192201421239,0.8809273987453435,0.9299034588469689,0.9343245190082521,0.93773197036227,228,0.8688115135282954,0.8586367176270092,0.8502186978158205,0.9255310596526667,0.9316870607297453,0.9369195995041246,0.8982536509229884,0.9116047167301908,0.9064744577117253,0.9019269758962422,0.9416375944718619,0.9451328119995487,0.9476807391121985,0.927133472153703,subregion
